entry,contrast,panel,metric,field,delta,ci_low,ci_high,bootstrap,requests,prompts,success_to_failure,failure_to_success,unit,paired,imputation
Middle,H−N,Fixed100,PS,new_nll,-0.000769255617633462,-0.0016545902887301052,2.4070936808129688e-05,2000,100,200,0,0,NLL,True,0
Middle,H−N,Fixed100,PS,true_nll,0.0010837405920028687,-0.00024773372709751125,0.0024615202248096466,2000,100,200,0,0,NLL,True,0
Middle,H−N,Fixed100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Middle,H−N,Fixed100,RS,new_nll,-0.00018458102982549463,-0.0007142487054479715,0.0003347602660960547,2000,100,100,0,0,NLL,True,0
Middle,H−N,Fixed100,RS,true_nll,0.0033551275730133055,0.0010165754258632661,0.005751344859600066,2000,100,100,0,0,NLL,True,0
Middle,H−N,Past100,NS,success,-0.1,-0.30000000000000004,0.0,2000,100,1000,1,0,pp,True,0
Middle,H−N,Past100,NS,new_nll,0.0007396536298329011,-0.0005055143791396403,0.0026289328421466047,2000,100,1000,1,0,NLL,True,0
Middle,H−N,Past100,NS,true_nll,0.000768826227635145,-0.0004938797856681049,0.002653323464374985,2000,100,1000,1,0,NLL,True,0
Middle,H−N,Past100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Middle,H−N,Past100,PS,new_nll,0.0001930280338274315,-0.0003974384684552206,0.0007809925377441682,2000,100,200,0,0,NLL,True,0
Middle,H−N,Past100,PS,true_nll,0.002006113827228546,0.0004502763524651527,0.003653174467384815,2000,100,200,0,0,NLL,True,0
Middle,H−N,Past100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Middle,H−N,Past100,RS,new_nll,-7.437464846589137e-05,-0.00029109686151969073,3.915573902850151e-05,2000,100,100,0,0,NLL,True,0
Middle,H−N,Past100,RS,true_nll,0.0012363338470458985,-0.001670300841331482,0.003755384206771847,2000,100,100,0,0,NLL,True,0
Middle,R−N,Current100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Middle,R−N,Current100,NS,new_nll,-0.002880284111946821,-0.009831994633469732,0.0010919630761258305,2000,100,1000,0,0,NLL,True,0
Middle,R−N,Current100,NS,true_nll,0.0001167239099740983,-0.0017834785964339973,0.0026951356654055384,2000,100,1000,0,0,NLL,True,0
Middle,R−N,Current100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Middle,R−N,Current100,PS,new_nll,-0.02717440230830107,-0.0603954106244928,-0.003935537612313067,2000,100,200,0,0,NLL,True,0
Middle,R−N,Current100,PS,true_nll,0.03824089407920837,0.017421943217515945,0.06580735519528386,2000,100,200,0,0,NLL,True,0
Middle,R−N,Current100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
