policy,batch,population,metric,group,field,unit,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max
N4,51,historical,PS,SUPERSEDED,desired_margin,REQUEST_CLUSTER_MEAN,4,1.3698346614837646,1.3008189797401428,0.30651792883872986,2.3641357123851776,2.0576177835464478,2.9220651745796205,3.1080416619777678,3.2568228518962856,-0.4163174629211426,3.2940181493759155
N4,51,historical,PS,UNKNOWN_RELATION,new_nll,PROMPT,0,,,,,,,,,,
N4,51,historical,PS,UNKNOWN_RELATION,new_nll,REQUEST_CLUSTER_MEAN,0,,,,,,,,,,
N4,51,historical,PS,UNKNOWN_RELATION,true_nll,PROMPT,0,,,,,,,,,,
N4,51,historical,PS,UNKNOWN_RELATION,true_nll,REQUEST_CLUSTER_MEAN,0,,,,,,,,,,
N4,51,historical,PS,UNKNOWN_RELATION,desired_margin,PROMPT,0,,,,,,,,,,
N4,51,historical,PS,UNKNOWN_RELATION,desired_margin,REQUEST_CLUSTER_MEAN,0,,,,,,,,,,
N4,51,historical,NS,ALL,new_nll,PROMPT,1280,8.02043007699308,7.9179770946502686,5.197667956352234,10.773231506347656,5.575563549995422,13.520577239990235,15.19818663597107,18.341244564056407,0.0005958688561804593,21.32379722595215
N4,51,historical,NS,ALL,new_nll,REQUEST_CLUSTER_MEAN,128,8.02043007699308,7.8478340864181515,5.687067866325378,10.019147801399232,4.332079935073853,11.917393178939818,13.482487382888792,15.351355570793157,1.2163844408467412,19.350190544128417
N4,51,historical,NS,ALL,true_nll,PROMPT,1280,5.866765133322042,5.5464208126068115,3.236964464187622,8.35713243484497,5.120167970657349,10.765612697601327,12.208933210372921,13.98306945800783,0.00568297877907753,18.902942657470703
N4,51,historical,NS,ALL,true_nll,REQUEST_CLUSTER_MEAN,128,5.866765133322042,5.756911706924439,3.903605471551418,7.633510810136795,3.729905338585377,9.041807515621185,9.402490198612213,10.788711055994034,1.4961641244590282,11.42833104133606
N4,51,historical,NS,ALL,desired_margin,PROMPT,1280,2.153664943671038,2.144567370414734,-0.6999461650848389,4.91531828045845,5.615264445543289,8.080521535873418,10.446472322940823,14.530033164024362,-13.43045393191278,16.512583076953888
N4,51,historical,NS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,128,2.153664943671038,1.8713940378278493,-0.020493021607398985,4.780215939879417,4.800708961486816,6.3935530057549474,7.68650429965928,11.948014096535747,-7.929708568379283,14.404068446159362
N4,51,historical,NS,ACTIVE_TARGET,new_nll,PROMPT,1240,7.928404375175324,7.904845952987671,5.1180925369262695,10.72995638847351,5.611863851547241,13.295692825317388,14.962726974487305,16.896270885467526,0.0005958688561804593,20.651355743408203
N4,51,historical,NS,ACTIVE_TARGET,new_nll,REQUEST_CLUSTER_MEAN,124,7.928404375175324,7.8291614055633545,5.644275243580342,10.019147801399232,4.37487255781889,11.901943499445915,13.197984561920164,14.278595561027526,1.2163844408467412,15.730924701690673
N4,51,historical,NS,ACTIVE_TARGET,true_nll,PROMPT,1240,5.806216207851145,5.497286319732666,3.1902899742126465,8.322837591171265,5.132547616958618,10.731025886535646,12.208933210372921,13.87071983337402,0.00568297877907753,18.902942657470703
N4,51,historical,NS,ACTIVE_TARGET,true_nll,REQUEST_CLUSTER_MEAN,124,5.806216207851145,5.708019018173218,3.8793708994984626,7.47055920958519,3.5911883100867272,9.026778858453037,9.408150684833526,10.79296212506294,1.4961641244590282,11.42833104133606
N4,51,historical,NS,ACTIVE_TARGET,desired_margin,PROMPT,1240,2.122188167324179,2.191312074661255,-0.6551401615142822,4.91531828045845,5.5704584419727325,7.847886323928844,10.12864577770233,12.975651377439489,-13.43045393191278,16.512583076953888
N4,51,historical,NS,ACTIVE_TARGET,desired_margin,REQUEST_CLUSTER_MEAN,124,2.122188167324179,1.9286317612975836,-0.020493021607398985,4.780215939879417,4.800708961486816,6.358049192428589,7.514798849020153,10.427921145081509,-7.929708568379283,12.279538271576167
N4,51,historical,NS,SUPERSEDED,new_nll,PROMPT,40,10.873226833343505,8.943634510040283,6.986384630203247,16.242077350616455,9.255692720413208,19.385547256469728,19.860805892944335,20.94725748062134,2.092811107635498,21.32379722595215
N4,51,historical,NS,SUPERSEDED,new_nll,REQUEST_CLUSTER_MEAN,4,10.873226833343505,8.926440811157228,8.062639141082764,11.737028503417969,3.674389362335205,16.30492572784424,17.827558135986322,19.045664062499995,6.2898351669311525,19.350190544128417
N4,51,historical,NS,SUPERSEDED,true_nll,PROMPT,40,7.743781822919845,7.1362481117248535,5.382960557937622,10.31992483139038,4.936964273452759,11.139058303833009,12.006891965866084,15.115913476943968,2.828174591064453,16.151809692382812
N4,51,historical,NS,SUPERSEDED,true_nll,REQUEST_CLUSTER_MEAN,4,7.743781822919845,8.415431880950926,7.41081159710884,8.748402106761931,1.337590509653091,9.018245701789855,9.108193566799162,9.18015185880661,4.946122097969055,9.198141431808471
N4,51,historical,NS,SUPERSEDED,desired_margin,PROMPT,40,3.12944501042366,1.1737239360809326,-1.9143521785736084,6.5547661781311035,8.469118356704712,14.726101303100586,14.949470651149747,16.010850055217745,-8.96795129776001,16.053916454315186
