before,after,population,group,metric,d,delta,delta_pp,lost,gained,strict_delta,desired_NLL_mean,desired_NLL_p95,desired_NLL_p99,competing_NLL_mean
N4,REFIT4,fullseen,SUPERSEDED,PS,192,-2,-1.0416666666666667,9,7,8,0.5661991306211954,4.679516410827632,9.456710226535797,0.2343856077707945
N4,REFIT4,fullseen,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
N4,REFIT4,fullseen,ALL,NS,60000,280,0.4666666666666667,1154,1434,1,-0.014874855577441243,1.0112911701202365,2.0010006284713797,0.04593897442658878
N4,REFIT4,fullseen,ACTIVE_TARGET,NS,59040,279,0.4725609756097561,1120,1399,1,-0.020517013872497075,1.000436782836914,1.931692318916322,0.040122632248915956
N4,REFIT4,fullseen,SUPERSEDED,NS,960,1,0.10416666666666667,34,35,0,0.3321178795684924,2.5852444410324096,6.696568665504452,0.40364401835346747
N4,REFIT4,fullseen,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
N4,FROZEN2,suffix,ALL,RS,1000,0,0.0,0,0,4,-0.024383920161368224,0.0004703799728304143,0.0023218777345027776,0.9218341195583344
N4,FROZEN2,suffix,ACTIVE_TARGET,RS,994,0,0.0,0,0,4,-0.025559802671545315,0.0004580147855449457,0.0022173512156587042,0.9238516823866477
N4,FROZEN2,suffix,SUPERSEDED,RS,6,0,0.0,0,0,0,0.1704206156913036,1.0104285143315792,1.2491319827735425,0.5875912110010783
N4,FROZEN2,suffix,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
N4,FROZEN2,suffix,ALL,PS,2000,20,1.0,2,22,44,-0.12684224536052716,0.5371311157941817,1.775493663102388,0.44706534683704374
N4,FROZEN2,suffix,ACTIVE_TARGET,PS,1988,18,0.9054325955734407,2,20,44,-0.12766502862596427,0.5170900523662567,1.7482074630260431,0.44918833610037684
N4,FROZEN2,suffix,SUPERSEDED,PS,12,2,16.666666666666668,0,2,0,0.009465515613555908,1.2642092466354362,1.7524649572372444,0.09535679221153259
N4,FROZEN2,suffix,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
