arm,K,endpoint,prompt,target,count,mean,median,p90,max,min
c1,5,accepted_z,rephrase,new,2000,1.6839963561416953,0.5829687118530273,5.201879978179932,17.227672576904297,0.0006292270263656974
c1,5,accepted_z,rephrase,true,2000,8.780207673791331,8.628373622894287,13.280022621154785,20.59271240234375,0.014514810405671597
c1,5,accepted_z,rewrite,new,1000,0.22233906774714707,0.08277815207839012,0.3770357668399811,6.428720474243164,0.0003408804477658123
c1,5,accepted_z,rewrite,true,1000,9.77570839035511,9.437652111053467,14.543100357055664,23.176773071289062,1.1881827116012573
c1,5,post_writer_W,rephrase,new,2000,2.290148214095214,1.16079580783844,6.266056060791016,18.118906021118164,0.0008441222598776221
c1,5,post_writer_W,rephrase,true,2000,7.698689060704782,7.436849594116211,12.409957885742188,20.922143936157227,0.010759200900793076
c1,5,post_writer_W,rewrite,new,1000,0.2265939932570618,0.08037510514259338,0.3650088310241699,6.717175483703613,0.0003296785580459982
c1,5,post_writer_W,rewrite,true,1000,9.767156903028487,9.420704364776611,14.55772590637207,23.18648338317871,0.754601240158081
c1,5,pre_writer_W,rephrase,new,2000,2.6383348667911486,1.5961865782737732,6.597646713256836,18.16640281677246,0.0009090343955904245
c1,5,pre_writer_W,rephrase,true,2000,7.267133531573694,7.034669399261475,11.866745948791504,20.95549774169922,0.008068467490375042
c1,5,pre_writer_W,rewrite,new,1000,0.5954562274413765,0.26047469675540924,1.3210293054580688,9.779153823852539,0.0004563482361845672
c1,5,pre_writer_W,rewrite,true,1000,8.592954678058625,8.234584331512451,13.364273071289062,21.2020320892334,1.0599772930145264
c1,6,accepted_z,rephrase,new,2000,1.5434121018467122,0.39548589289188385,5.001610279083252,17.091630935668945,0.000705589191056788
c1,6,accepted_z,rephrase,true,2000,9.184647365168669,9.056564331054688,13.773299217224121,21.648059844970703,0.013776691630482674
c1,6,accepted_z,rewrite,new,1000,0.11992304916503053,0.04186288267374039,0.14530664682388306,6.292639255523682,0.0001081169830285944
c1,6,accepted_z,rewrite,true,1000,10.537087018728256,10.0936918258667,15.351874351501465,23.14826774597168,1.8792028427124023
c1,6,post_writer_W,rephrase,new,2000,2.125109367258061,0.9215267896652222,6.0379462242126465,18.08983612060547,0.0008688965463079512
c1,6,post_writer_W,rephrase,true,2000,7.976340078376699,7.745458602905273,12.75413990020752,20.911386489868164,0.010718041099607944
c1,6,post_writer_W,rewrite,new,1000,0.12190146402212122,0.04095979034900665,0.14303770661354065,6.218006134033203,9.643566590966657e-05
c1,6,post_writer_W,rewrite,true,1000,10.539390568375588,10.107704639434814,15.326927185058594,23.14528465270996,1.8819366693496704
c1,6,pre_writer_W,rephrase,new,2000,2.290148214095214,1.16079580783844,6.266056060791016,18.118906021118164,0.0008441222598776221
c1,6,pre_writer_W,rephrase,true,2000,7.698689060704782,7.436849594116211,12.409957885742188,20.922143936157227,0.010759200900793076
c1,6,pre_writer_W,rewrite,new,1000,0.2265939932570618,0.08037510514259338,0.3650088310241699,6.717175483703613,0.0003296785580459982
c1,6,pre_writer_W,rewrite,true,1000,9.767156903028487,9.420704364776611,14.55772590637207,23.18648338317871,0.754601240158081
c1,7,accepted_z,rephrase,new,2000,1.4554886902503494,0.3089993745088577,4.86121940612793,17.021331787109375,0.0007620529504492879
c1,7,accepted_z,rephrase,true,2000,9.433138205154334,9.29183053970337,14.061678886413574,21.698781967163086,0.013300386257469654
c1,7,accepted_z,rewrite,new,1000,0.0775469631059459,0.027019983157515526,0.08443991839885712,6.221137046813965,8.856858039507642e-05
c1,7,accepted_z,rewrite,true,1000,11.036316510915757,10.662636756896973,15.80630874633789,23.451519012451172,1.8818776607513428
c1,7,post_writer_W,rephrase,new,2000,2.0481173918855786,0.7956702411174774,5.9915571212768555,18.077606201171875,0.0008345934911631048
c1,7,post_writer_W,rephrase,true,2000,8.144295576850883,7.929484605789185,12.9116792678833,20.899078369140625,0.010596321895718575
c1,7,post_writer_W,rewrite,new,1000,0.07957417951703974,0.026997821405529976,0.08390963077545166,6.182360649108887,8.999896090244874e-05
