comparison,cohort,future_batches,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max
ATWRITE_TO_W100,64,36,PS,200,171,172,0.5,167,4,5,24,171,29,8,3,127,122,-0.02485083627863787,-0.0010703012812882662,0.6216750264167782,1.3357526600360858,3.486341604702165,-6.268256187438965,6.576455593109131,0.017315518707036973,0.044223785400390625,1.7377917766571045,2.2184175252914384,3.27862149000167,-5.755522966384888,4.205679893493652
ATWRITE_TO_W100,65,35,PS,200,175,173,-1.0,171,4,2,23,175,25,13,7,130,124,0.08386113575164927,0.008746038656681776,1.277479156851768,2.3847354054450984,3.3461932571977364,-3.641979694366455,4.003073513507843,-0.1438544623553753,-0.07388576865196228,1.4389338493347168,1.9259954750537867,2.9501897144317613,-6.991510391235352,3.973590850830078
ATWRITE_TO_W100,66,34,PS,200,178,175,-1.5,171,7,4,18,178,22,16,13,119,116,0.13476594070525608,0.00417315773665905,1.1992252349853512,1.8534299194812756,3.7144465160369804,-3.961543023586273,4.722830772399902,-0.1455892873555422,-0.1304631233215332,1.8785083770751951,2.2073007583618165,3.1715686893463135,-6.039595603942871,3.44871187210083
ATWRITE_TO_W100,67,33,PS,200,181,177,-2.0,174,7,3,16,181,19,11,6,132,127,0.2028379881159708,0.005134182516485453,1.2406644344329834,2.451578721404075,4.375988132134079,-2.789909839630127,5.604254245758057,0.013770714718848467,-0.07690125703811646,1.347143268585205,1.9825838565826404,4.133513083457947,-3.7009658813476562,5.080397605895996
ATWRITE_TO_W100,68,32,PS,200,186,183,-1.5,180,6,3,11,186,14,9,7,139,137,-0.032826110419991894,0.0010314866667613387,0.5970512986183164,0.9916576951742164,2.02290889918804,-3.6474931240081787,2.2723402976989746,-0.08364342793822288,-0.16861605644226074,1.4359285354614253,2.002822685241696,4.178622736930847,-4.432225704193115,4.793412208557129
ATWRITE_TO_W100,69,31,PS,200,187,183,-2.0,180,7,3,10,187,13,14,9,141,136,0.11805980928795179,0.004314761608839035,0.8832854747772211,1.6072891183197482,3.1742738080024577,-2.6395074129104614,5.689255714416504,-0.03407499819993973,-0.1485748291015625,1.6717067241668697,2.1886441230773923,3.739941577911376,-4.985379695892334,6.175915718078613
ATWRITE_TO_W100,70,30,PS,200,177,179,1.0,174,3,5,18,177,23,6,7,135,136,0.028018718734092545,0.001151273027062416,0.5725339025259015,1.0397380411624881,2.660861578583711,-3.0458576679229736,7.97764253616333,-0.08039762437343598,-0.10278987884521484,1.348752212524414,1.8725589275360077,3.144209356307977,-5.785235404968262,4.712801933288574
ATWRITE_TO_W100,71,29,PS,200,189,190,0.5,185,4,5,6,189,11,6,7,142,143,0.012393856839989894,-0.0012735389173030853,0.4157894365489475,0.8656919360160827,1.7658643754943792,-5.460746347904205,9.451353073120117,-0.022548324465751647,0.05432558059692383,1.213066864013672,1.7570800423622108,3.75342527866363,-4.152008533477783,5.504936218261719
ATWRITE_TO_W100,72,28,PS,200,185,187,1.0,184,1,3,12,185,15,11,9,138,136,0.17815547231595702,0.003229503519833088,0.9074074745178219,1.8690574407577496,3.9273176765441846,-2.1248550415039062,5.21912956237793,-0.05890464723110199,-0.022252798080444336,1.14196720123291,1.6775201559066768,3.465237779617304,-4.1124677658081055,4.103950023651123
ATWRITE_TO_W100,73,27,PS,200,177,182,2.5,176,1,6,17,177,23,4,7,139,142,-0.025537837379961275,0.0003144860966131091,0.5350722432136534,0.9697162747383109,1.965090516209592,-3.938613533973694,3.747859239578247,-0.015852134823799133,-0.06056690216064453,1.3344925880432126,1.777775931358336,2.3639270901679863,-2.915297031402588,4.124732971191406
ATWRITE_TO_W100,74,26,PS,200,179,180,0.5,174,5,6,15,179,21,12,7,135,130,0.13306040076247883,0.012390924617648125,0.9217484354972838,1.5679831743240336,3.6530794961750344,-2.8212616443634033,5.788076237426139,-0.12610322618857026,-0.005345731973648071,1.3899339437484741,1.8204413175582856,2.2843068027496285,-7.5308917462825775,3.6382393836975098
ATWRITE_TO_W100,75,25,PS,200,177,181,2.0,175,2,6,17,177,23,11,9,135,133,0.07217608738515992,0.0019390638917684555,0.7602133303880692,1.3127405405044545,2.63600213766098,-2.530262589454651,2.9990665912628174,0.033711853474378585,0.025395631790161133,1.1820868015289305,1.827461791038513,2.7126873588561997,-3.2597904205322266,6.813889026641846
ATWRITE_TO_W100,76,24,PS,200,177,174,-1.5,171,6,3,20,177,23,10,5,144,139,0.021618948809045833,0.0013103983364999294,0.5939038500189779,0.988876724243162,2.277067348957061,-3.125917911529541,2.9482677038758993,-0.36787326537072657,-0.15880203247070312,0.8046723842620845,1.0083044767379756,1.8470548677444394,-5.042293548583984,3.561732292175293
ATWRITE_TO_W100,77,23,PS,200,187,186,-0.5,185,2,1,12,187,13,9,7,136,134,0.06977269383933163,0.01021557953208685,0.7506057858467098,0.953810746781525,2.676707959175107,-2.3869314193725586,3.325610041618347,-0.09298866715282202,-0.08355093002319336,1.2967588424682615,1.7487496137619005,2.494622287750237,-3.6897735595703125,3.709364891052246
ATWRITE_TO_W100,78,22,PS,200,179,179,0.0,178,1,1,20,179,21,3,7,130,134,0.002615483749832492,-0.004025870002806187,0.42410674095153794,0.8271300852298701,2.019984238147733,-4.180569648742676,2.5144662857055664,-0.021182654462754726,-0.043066978454589844,1.136589241027832,1.3578639030456536,1.8066899275779713,-2.4831247329711914,2.0759787559509277
ATWRITE_TO_W100,79,21,PS,200,181,182,0.5,180,1,2,17,181,19,3,4,134,135,0.018994256793230305,0.0008880451787263155,0.4247341156005859,0.7377627432346339,1.308757920265194,-2.27663254737854,3.079909086227417,0.10102045074105263,0.06580126285552979,1.0983776092529296,1.7345038652420037,2.6191380000114393,-2.7285594940185547,4.577152252197266
