phase,arm,unit,K,endpoint,locality_denominator,locality_numerator,rephrase_accuracy_denominator,rephrase_accuracy_numerator,rephrase_strict_accuracy_denominator,rephrase_strict_accuracy_numerator,rephrase_strict_success_denominator,rephrase_strict_success_numerator,rephrase_success_denominator,rephrase_success_numerator,rephrase_target_new_nll_mean,rephrase_target_true_nll_mean,rewrite_accuracy_denominator,rewrite_accuracy_numerator,rewrite_success_denominator,rewrite_success_numerator,rewrite_target_new_nll_mean,rewrite_target_true_nll_mean,endpoint_identity_sha256
3,c0,4,3,post_writer_W,1000,841,200,73,100,17,100,72,200,161,3.1970987092424186,6.281907885670662,100,81,100,96,0.8850368621642701,7.8818189144134525,a4bac2300b80673edcde73d6cc455fc8a37146a766bee955e21d6bbe7492b6cb
3,c0,4,3,pre_writer_W,1000,844,200,33,100,8,100,50,200,121,4.653739102482795,5.495876955911517,100,48,100,87,2.2252857463806865,5.740803328156471,605ea9e5cb4f91a3a025d434207c46033a8b580fcb41d19f884f784bb8140fb4
3,c0,4,4,accepted_z,1000,841,200,122,100,44,100,92,200,189,1.6825112777184403,7.915713034570217,100,93,100,98,0.36962326735490936,9.087932903766632,c5597bd58c6da18ca93f3f2e38bd34b0a18aece8276a0221812d7c7bff063ba0
3,c0,4,4,post_writer_W,1000,839,200,93,100,26,100,78,200,173,2.5885886126803235,6.6696758571267125,100,94,100,98,0.37581561294966376,9.066563634872436,692950d26794f31ce420d11726c5876aa21b79436dac426f6dcca0d9e0bcb351
3,c0,4,4,pre_writer_W,1000,841,200,73,100,17,100,72,200,161,3.1970987092424186,6.281907885670662,100,81,100,96,0.8850368621642701,7.8818189144134525,a4bac2300b80673edcde73d6cc455fc8a37146a766bee955e21d6bbe7492b6cb
3,c0,4,5,accepted_z,1000,839,200,135,100,52,100,94,200,193,1.45064814637808,8.244621261954308,100,98,100,100,0.15843399417295587,9.781558063030243,b6e6cfadd072a8b199c0434e52a8dc4a8b6c7f3af0891b5263d5feb1adea95df
3,c0,4,5,post_writer_W,1000,839,200,100,100,30,100,80,200,178,2.4006748077226803,6.881072351038456,100,98,100,100,0.16254188323160634,9.770924746990204,e7f5c1dc4d783ca201a690c78ccf7b66ed60c7369c0d217373eff020778ccf09
3,c0,4,5,pre_writer_W,1000,839,200,93,100,26,100,78,200,173,2.5885886126803235,6.6696758571267125,100,94,100,98,0.37581561294966376,9.066563634872436,692950d26794f31ce420d11726c5876aa21b79436dac426f6dcca0d9e0bcb351
3,c0,4,6,accepted_z,1000,839,200,137,100,54,100,95,200,195,1.422842406141135,8.400642002820968,100,98,100,100,0.13966357930446974,10.072462148666382,0e97c49c70014a7593145146c196c5603fc187dff1c4b825d54d7288c5d6e19a
3,c0,4,6,post_writer_W,1000,838,200,101,100,30,100,79,200,177,2.3570521456806457,6.948597959876061,100,98,100,100,0.13957808699691668,10.074325313568115,1cecc33b44acbe0f433ee47d330fa138e55cd317b5b6c0af90d4c79216878375
3,c0,4,6,pre_writer_W,1000,839,200,100,100,30,100,80,200,178,2.4006748077226803,6.881072351038456,100,98,100,100,0.16254188323160634,9.770924746990204,e7f5c1dc4d783ca201a690c78ccf7b66ed60c7369c0d217373eff020778ccf09
3,c0,4,7,accepted_z,1000,838,200,138,100,54,100,96,200,196,1.4001100636199408,8.491582210659981,100,99,100,100,0.12701367801055313,10.237734603881837,166a7b0d81a357dbe69522c0a69c46c1b015ad25321595b088ae8e4aee205741
3,c0,4,7,post_writer_W,1000,838,200,101,100,30,100,79,200,177,2.329530725450022,6.998815497756004,100,99,100,100,0.12681737418548436,10.238894515037536,b142f1f0c918fd43f3dd6154b0e5a010c31419a67ab38cd972dc4441c1a8f4a2
3,c0,4,7,pre_writer_W,1000,838,200,101,100,30,100,79,200,177,2.3570521456806457,6.948597959876061,100,98,100,100,0.13957808699691668,10.074325313568115,1cecc33b44acbe0f433ee47d330fa138e55cd317b5b6c0af90d4c79216878375
3,c0,4,8,accepted_z,1000,838,200,139,100,54,100,96,200,196,1.3831886323638174,8.571948868632317,100,99,100,100,0.1208286516572116,10.389579491615295,e24a8248bcf296bb2af757a3fbe924ce30e5991050dea871ab6c58227c5d9d7b
3,c0,4,8,post_writer_W,1000,838,200,101,100,30,100,79,200,177,2.308360455428483,7.041493943929672,100,99,100,100,0.12069364504393888,10.39074791431427,d33ad70589cabb6dc1c1e26ea7317ec6607ef77a0ca1b3eb0b9c3da8b14ffc1e
3,c0,4,8,pre_writer_W,1000,838,200,101,100,30,100,79,200,177,2.329530725450022,6.998815497756004,100,99,100,100,0.12681737418548436,10.238894515037536,b142f1f0c918fd43f3dd6154b0e5a010c31419a67ab38cd972dc4441c1a8f4a2
3,c0,5,1,accepted_z,1000,877,200,15,100,2,100,20,200,63,6.047196452692151,4.792543855160475,100,10,100,44,5.4211953847110275,4.70083759225905,0a5a0fd0a8a5e5dec963deeb1fceb2bc40e46ef1830ff024723be2f1e94243d2
3,c0,5,1,post_writer_W,1000,873,200,6,100,0,100,13,200,48,6.911830666773021,4.690494842305779,100,12,100,47,5.313494439274073,4.755918859615922,517aaecd2a0e7126550994f6efeac41673162ca1d864eb68cfea9d38f8ce5129
3,c0,5,1,pre_writer_W,1000,877,200,2,100,0,100,8,200,25,9.521638963408769,4.13855142518878,100,2,100,14,9.956995521634816,4.128666145764291,ce625ead6d8e2a54b1050ffe66222200a2e0666c66d14b7ac2044835f9f68338
3,c0,5,2,accepted_z,1000,873,200,54,100,18,100,64,200,145,3.4797127951541915,5.929868230521679,100,50,100,88,2.1435623127454893,5.846109990179539,7111ebe6225fdd7d9a6d799c44dc48c67d215afaf3c40d3e51a84dba8ba95596
