endpoint,panel,metric,denominator,baseline_success_denominator,lost,gained,unchanged_success,unchanged_failure,loss_rate_among_baseline_success,paired_identity_root
Middle-B060,cohort_B047,RS,100,100,0,0,100,0,0.0,53b56588137e5ea7fa02c90b2bd6abb4ec93730e4c28a6de6be76381b5bdc966
Middle-B060,cohort_B047,PS,200,193,2,0,191,7,0.010362694300518135,435e696fcb452e842f9bdb1d1b8968d00a2eb80c222a6b8e11948ef805f7cdc9
Middle-B060,cohort_B047,NS,1000,717,11,8,706,275,0.015341701534170154,896ff6870242cecf1261f92b068489bb87ba17a2dba0424a8f73d1f9e5ae70b0
Middle-B060,cohort_B048,RS,100,100,0,0,100,0,0.0,0e812a0ceb06a6917cecbd40ff23b434713e7324b79838bad731c9ba824a973d
Middle-B060,cohort_B048,PS,200,194,1,0,193,6,0.005154639175257732,ad674af49b41ccebca082f1898d925aa50250513a62377f2a9bd44fe2074a0d3
Middle-B060,cohort_B048,NS,1000,718,5,9,713,273,0.006963788300835654,956492924601c42f88b8d4f52bdeae663e7f1f8524b7741cc2b27c37c933513d
Middle-B060,cohort_B049,RS,100,100,0,0,100,0,0.0,20473073f4ccdaa9ca1f99d61099e08776ad784a03450908bf5a2c6fcc18452b
Middle-B060,cohort_B049,PS,200,196,0,0,196,4,0.0,f4475437a40ffa276e536158a1e0c67c435726dbde27555ee6d6c4e3eeb8efe0
Middle-B060,cohort_B049,NS,1000,709,8,7,701,284,0.011283497884344146,504b157e45bafb46f63080d0659cbdcc4ca981d8f3e7015c49691eaf37c9e5ed
Middle-B060,cohort_B050,RS,100,100,0,0,100,0,0.0,18a8855b034cbf083e8825b9283b5084b8ff05595019f9bfe7bee8c43dcc94a8
Middle-B060,cohort_B050,PS,200,194,2,0,192,6,0.010309278350515464,a70ae98bd81c02845d4bde551484c09ed7b06acffab329a34324f9cbf46fc8ae
Middle-B060,cohort_B050,NS,1000,721,8,5,713,274,0.011095700416088766,ebcb6c9cd4c3557ced762427440ea56b897273b502f6934652a51c91d5a1e12d
Middle-B060,cohort_B051,RS,100,100,0,0,100,0,0.0,804354e77b469cd6a88f06af7a9f5475ae7671a380f3c0296daf00e7a45d069e
Middle-B060,cohort_B051,PS,200,196,0,1,196,3,0.0,8363aaaedba449d364351d53927772ada3687f00d1b53a8ba1caec524ee7b13f
Middle-B060,cohort_B051,NS,1000,714,5,5,709,281,0.0070028011204481795,be2d6267f302994527b2b119b526adf2160f9b41d213d91354ce8c7cbcdabf83
Middle-B060,cohort_B052,RS,100,100,0,0,100,0,0.0,58f544691760bc7ad70560438c6c1c0d9c71c45594685fb77857691cc2f1e48e
