entry,branch,stage,panel,metric,numerator,denominator,percent,ties,token_correct,target_tokens,token_micro,prompt_macro,strict_count,unique_strict_count,new_nll_mean,true_nll_mean,desired_nll_mean,desired_margin_mean,desired_margin_p01,desired_margin_p05,desired_margin_median,desired_nll_p95,desired_nll_p99
50,L5/interchange/rank1-off-from-on,component,H512_ALL,RS,487,512,95.1171875,0,421,516,0.8158914728682171,0.818359375,417,417,0.9545574474005534,9.819409793824889,0.9545574474005534,8.864852346424335,-5.425006471872329,0.1768042087554932,8.655339698307216,5.857822871208191,10.881865749359118
50,L5/interchange/rank1-off-from-on,component,H512_ALL,PS,903,1024,88.18359375,0,616,1032,0.5968992248062015,0.5966796875,608,608,2.17972204678626,8.407095752867463,2.17972204678626,6.227373706081202,-7.2338929677009585,-2.996672010421753,6.485381061211228,8.543042516708367,11.956616115570068
50,L5/interchange/rank1-on-from-off,component,Current,RS,94,100,94.0,0,84,101,0.8316831683168316,0.835,83,83,1.108285175774945,8.751232025623322,1.108285175774945,7.642946849848377,-3.8115948534011843,-0.060062229633331174,7.799675456248224,6.129945015907287,9.265262403488192
50,L5/interchange/rank1-on-from-off,component,Current,PS,177,200,88.5,0,124,202,0.6138613861386139,0.615,122,122,2.2186123540069094,8.129696370363236,2.2186123540069094,5.911084016356326,-6.5426489353179935,-3.199606680870056,6.414436101913452,8.967821073532102,13.186393318176268
50,L5/interchange/rank1-on-from-off,component,Current,NS,635,1000,63.5,0,163,1030,0.15825242718446603,0.1475,134,134,7.31007486506924,5.508403807146941,5.508403807146941,1.8016710579222999,-11.142749224770814,-7.324420762062073,1.62612783908844,11.787406301498413,13.980720148086544
50,L5/interchange/rank1-on-from-off,component,N512,NS,356,512,69.53125,0,87,512,0.169921875,0.169921875,87,87,7.144814688988845,4.766651032514346,4.766651032514346,2.3781636564744986,-8.266750837936998,-5.562129926681519,2.014521598815918,10.878767728805542,13.130833835601804
50,L5/interchange/rank1-on-from-off,component,H512_ALL,RS,487,512,95.1171875,0,420,516,0.813953488372093,0.81640625,416,416,0.9632398189802274,9.795886546140537,0.9632398189802274,8.83264672716031,-5.693622131347656,0.07611336708068855,8.640339503996074,5.886201071739197,10.715558166503898
50,L5/interchange/rank1-on-from-off,component,H512_ALL,PS,902,1024,88.0859375,0,611,1032,0.5920542635658915,0.591796875,603,603,2.194814323968597,8.392038466485246,2.194814323968597,6.197224142516649,-7.290255861282349,-3.1953034877777093,6.490992844104767,8.683295536041257,12.08076290130615
50,L5/interchange/rank2-off-from-on,component,Current,RS,82,100,82.0,0,52,101,0.5148514851485149,0.515,51,51,2.7421686806203796,6.994566789865494,2.7421686806203796,4.252398109245114,-5.4838224077224735,-3.886651861667633,4.283131510019302,9.381535768508911,11.612151288986237
50,L5/interchange/rank2-off-from-on,component,Current,PS,142,200,71.0,0,73,202,0.3613861386138614,0.36,71,71,3.8454642354603856,6.87801046743989,3.8454642354603856,3.032546231979504,-8.31615207195282,-5.411649990081787,3.127688407897949,10.832237100601194,14.454257736206054
50,L5/interchange/rank2-off-from-on,component,Current,NS,644,1000,64.4,0,166,1030,0.16116504854368932,0.1505,137,137,7.36109034350072,5.489232159695122,5.489232159695122,1.8718581838055979,-11.093949180319905,-7.242447340488434,1.6876273155212402,11.808499431610107,13.805312252044672
50,L5/interchange/rank2-off-from-on,component,N512,NS,351,512,68.5546875,0,86,512,0.16796875,0.16796875,86,86,7.155744877969482,4.770684393610281,4.770684393610281,2.385060484359201,-8.212720713615418,-5.566821582242847,2.0350221395492554,10.912407255172727,12.982267522811888
50,L5/interchange/rank2-off-from-on,component,H512_ALL,RS,487,512,95.1171875,0,421,516,0.8158914728682171,0.818359375,417,417,0.9545422856692269,9.819737453537527,0.9545422856692269,8.8651951678683,-5.426021418571472,0.17800655364990237,8.656942006200552,5.861301875114441,10.881863813400255
50,L5/interchange/rank2-off-from-on,component,H512_ALL,PS,903,1024,88.18359375,0,616,1032,0.5968992248062015,0.5966796875,608,608,2.179720032305987,8.407381778768467,2.179720032305987,6.227661746462481,-7.233148503303528,-2.995364475250244,6.490828655660152,8.54193015098571,11.957833414077758
50,L5/interchange/rank2-on-from-off,component,Current,RS,94,100,94.0,0,84,101,0.8316831683168316,0.835,83,83,1.1090674019115978,8.733596935272217,1.1090674019115978,7.624529533360619,-3.8296725726127625,-0.07756327390670764,7.728223277721554,6.126857256889343,9.271252832412753
50,L5/interchange/rank2-on-from-off,component,Current,PS,177,200,88.5,0,124,202,0.6138613861386139,0.615,122,122,2.2163376823361616,8.115341443419457,2.2163376823361616,5.8990037610832955,-6.541732292175293,-3.1988234281539913,6.42125016450882,8.96354842185974,13.191166353225707
50,L5/interchange/rank2-on-from-off,component,Current,NS,634,1000,63.4,0,163,1030,0.15825242718446603,0.1475,134,134,7.309797660732642,5.508129095476586,5.508129095476586,1.8016685652560553,-11.13803409807384,-7.322458577156067,1.6269259452819824,11.789192628860473,13.975092077255244
50,L5/interchange/rank2-on-from-off,component,N512,NS,356,512,69.53125,0,87,512,0.169921875,0.169921875,87,87,7.1448739856241446,4.766933882623562,4.766933882623562,2.377940103000583,-8.266429232135415,-5.563548713922501,2.013969659805298,10.879407119750976,13.131043739318844
