source_table,model,method,accepted_edit_count,fork,layer,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,8,relative_update_magnitude,RECORDED,1,0.08426583950653155,0.08426583950653155,0.08426583950653155,0.08426583950653155,0.08426583950653155,0.0,0.08426583950653155,0.08426583950653155,0.08426583950653155
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,8,update_magnitude_share,RECORDED,1,0.3163155702961415,0.3163155702961415,0.3163155702961415,0.3163155702961415,0.3163155702961415,0.0,0.3163155702961415,0.3163155702961415,0.3163155702961415
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,4,frobenius_magnitude,RECORDED,1,4.6718626379731445,4.6718626379731445,4.6718626379731445,4.6718626379731445,4.6718626379731445,0.0,4.6718626379731445,4.6718626379731445,4.6718626379731445
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,4,frobenius_squared_telemetry,RECORDED,1,21.826300508089393,21.826300508089393,21.826300508089393,21.826300508089393,21.826300508089393,0.0,21.826300508089393,21.826300508089393,21.826300508089393
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,4,relative_update_magnitude,RECORDED,1,0.05962839931038217,0.05962839931038217,0.05962839931038217,0.05962839931038217,0.05962839931038217,0.0,0.05962839931038217,0.05962839931038217,0.05962839931038217
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,4,update_magnitude_share,RECORDED,1,0.14868694999084822,0.14868694999084822,0.14868694999084822,0.14868694999084822,0.14868694999084822,0.0,0.14868694999084822,0.14868694999084822,0.14868694999084822
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,5,frobenius_magnitude,RECORDED,1,4.855308423727364,4.855308423727364,4.855308423727364,4.855308423727364,4.855308423727364,0.0,4.855308423727364,4.855308423727364,4.855308423727364
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,5,frobenius_squared_telemetry,RECORDED,1,23.574019889517906,23.574019889517906,23.574019889517906,23.574019889517906,23.574019889517906,0.0,23.574019889517906,23.574019889517906,23.574019889517906
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,5,relative_update_magnitude,RECORDED,1,0.0619115349930273,0.0619115349930273,0.0619115349930273,0.0619115349930273,0.0619115349930273,0.0,0.0619115349930273,0.0619115349930273,0.0619115349930273
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,5,update_magnitude_share,RECORDED,1,0.15452530537201223,0.15452530537201223,0.15452530537201223,0.15452530537201223,0.15452530537201223,0.0,0.15452530537201223,0.15452530537201223,0.15452530537201223
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,6,frobenius_magnitude,RECORDED,1,5.633924436658855,5.633924436658855,5.633924436658855,5.633924436658855,5.633924436658855,0.0,5.633924436658855,5.633924436658855,5.633924436658855
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,6,frobenius_squared_telemetry,RECORDED,1,31.741104557981796,31.741104557981796,31.741104557981796,31.741104557981796,31.741104557981796,0.0,31.741104557981796,31.741104557981796,31.741104557981796
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,6,relative_update_magnitude,RECORDED,1,0.07192998387325475,0.07192998387325475,0.07192998387325475,0.07192998387325475,0.07192998387325475,0.0,0.07192998387325475,0.07192998387325475,0.07192998387325475
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,6,update_magnitude_share,RECORDED,1,0.1793055802105388,0.1793055802105388,0.1793055802105388,0.1793055802105388,0.1793055802105388,0.0,0.1793055802105388,0.1793055802105388,0.1793055802105388
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,7,frobenius_magnitude,RECORDED,1,7.053696147267972,7.053696147267972,7.053696147267972,7.053696147267972,7.053696147267972,0.0,7.053696147267972,7.053696147267972,7.053696147267972
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,7,frobenius_squared_telemetry,RECORDED,1,49.754629337983026,49.754629337983026,49.754629337983026,49.754629337983026,49.754629337983026,0.0,49.754629337983026,49.754629337983026,49.754629337983026
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,7,relative_update_magnitude,RECORDED,1,0.08848774774685463,0.08848774774685463,0.08848774774685463,0.08848774774685463,0.08848774774685463,0.0,0.08848774774685463,0.08848774774685463,0.08848774774685463
